split,n_rows,accuracy,macro_f1,macro_precision,macro_recall
train,38951,0.8385920772252317,0.8372949823943401,0.8384586442442942,0.8366132375017385
valid,8348,0.8393627216099665,0.8379439373769718,0.8390025792999712,0.8373334012552465
test,8351,0.6496227996647108,0.6437435392468025,0.643786779191786,0.6443142076936823
